Comuna;Region;PctPobreza;RemunMedia;TasaNatalidad;TasaMortalidad;TasaMortalidadInfantil;PctDesnutridos;PctSobrePesoInfantil;PctObesidadInfantil
Palena;10;16,82;388343,8438;13,30000019;8,938919067;3,937999964;2,98507452;26,11940384;8,955224037
Coyhaique;11;9;490631,5313;16,60000038;3,999053001;9,761899948;1,693503618;26,1243763;14,96390915
Lago Verde;11;18,56;360378,25;5,300000191;3,841424942;10,18599987;1,515151501;34,84848404;12,12121201
Aysén;11;12;466708,5938;16,79999924;4,617941856;9,578499794;2,233840227;26,04562759;15,9695816
Cisnes;11;7,4;452156,7813;14,30000019;3,657860994;5,998000145;1,90476191;33,33333206;13,71428585
Guaitecas;11;16,72;377497,2188;7,699999809;5,574326038;4,365399837;1,526717544;40,45801544;20,61068726
Cochrane;11;11,3;452198,5625;18,89999962;4,645956993;13,9066;1,748251796;32,16783142;15,03496456
O'Higgins;11;18,56;359442,5313;9,100000381;2,441876173;14,81599998;0;40,98360825;18,03278732
Tortel;11;18,3;364231,1875;12,80000019;3,491556168;37,32239914;1,886792421;26,41509438;13,20754719
Chile Chico;11;4,2;688257,9375;7,900000095;4,993545055;15,15639973;2,785515308;27,57660103;16,7130928
Río Ibáñez;11;7,8;440568,3125;6,599999905;4,243288994;0;5,426356316;36,43410873;18,6046505
Punta Arenas;12;5,4;560360,3125;14,80000019;5,847187042;9,082799911;1,221865058;24,48553085;12,76527309
Laguna Blanca;12;11,74;505974,5313;0;0,538156986;0;0;0;5
Rio Verde;12;14,49;680849,3125;0;1,776674032;0;0;0;0
San Gregorio;12;9,57;629159,125;2,599999905;1,335211992;0;7,692307472;38,46154022;15,38461494
Cabo De Hornos;12;9,03;571823;8;3,10837698;4,082499981;0;30;11,66666698
Porvenir;12;5,4;465107,125;14,60000038;5,800131798;14,14780045;1,859504223;23,96694183;14,87603283
Primavera;12;10,75;568566,875;13,30000019;1,143710971;0;0;0;0
Timaukel;12;14,5;461968,5938;0;0,312882006;0;0;30,76922989;23,07692337
Natales;12;7,2;439536,4375;12,30000019;5,758997917;10,27219963;3,12066555;24,5492363;14,97919559
Torres Del Paine;12;15,94;616800,9375;0;0,316567004;0;0;28,5714283;14,28571415
Santiago;13;5,7;698556,5;26,79999924;6,256621838;7,583099842;3,088268995;18,02258492;6,552968979
Cerrillos;13;11,7;551150,8125;18,39999962;4,7959342;6,825600147;3,155006886;19,66163635;11,97988129
Cerro Navia;13;14,6;441446,1563;14,60000038;5,0826478;8,498000145;2,923319101;24,24106216;9,118506432
Conchalí;13;10,8;511848,2813;16,60000038;5,415493011;8,900300026;3,002043962;21,16760254;7,94583559
El Bosque;13;11,1;487604,6875;15,39999962;4,703508854;8,642800331;1,519459724;23,35169792;9,534387589
Estación Central;13;17,6;556922,1875;15,5;5,736646652;8,020199776;3,799149752;19,60680199;7,810839653
Huechuraba;13;12,6;718961;19,20000076;4,494134903;7,092100143;2,063825846;21,57462311;9,287216187
Independencia;13;8,2;576545,5;23,29999924;9,508907318;13,31760025;2,033979416;22,90021515;8,23163414
La Cisterna;13;7,5;622661,5;14,69999981;5,433740616;7,837600231;2,94823432;22,18032265;7,987658501
La Florida;13;9,2;671671,0625;12,30000019;3,384650946;7,049799919;2,751828909;21,67698288;8,384918213
